section,claim_id,value,unit,type,status,source,notes,notes_connectivity,notes_dbcomparison
5.2.prose,sec5_2_prose_st04_bios_gbps,84,Gbps,NARRATIVE,NARRATIVE,pre-fix historical anomaly; not in current CSVs,,,
5.2.prose,sec5_2_prose_fullmesh_theoretical_pct,44.1,%,DERIVED,OK,canonical_fullmesh_total_gbps_mean / FM_THEORETICAL_GBPS,,,
5.2.prose,sec5_2_prose_fullmesh_degradation_mean_pct,79.5,%,DERIVED,OK,"track1_throughput_cross_mode.csv, mean(degradation_pct)",,,
5.2.prose,sec5_2_prose_fullmesh_degradation_min_pct,66.7,%,DERIVED,OK,"track1_throughput_cross_mode.csv, min(degradation_pct)",,,
5.2.prose,sec5_2_prose_fullmesh_degradation_max_pct,88.3,%,DERIVED,OK,"track1_throughput_cross_mode.csv, max(degradation_pct)",,,
5.2.prose,sec5_2_prose_ststst_theoretical_pct,86.2,%,DERIVED,OK,canonical_ststst_total_gbps_mean / STST_THEORETICAL_GBPS,,,
5.2.prose,sec5_2_prose_r750_perapp_min_gbps,319.8,Gbps,DERIVED,OK,"track1_st_to_st_per_app.csv, min(mean_total_gbps)",Per-app view (client side) min.,,
5.2.prose,sec5_2_prose_r750_perapp_max_gbps,359.3,Gbps,DERIVED,OK,"track1_st_to_st_per_app.csv, max(mean_total_gbps)",Per-app view (client side) max.,,
5.2.prose,sec5_2_prose_r750_perstore_min_gbps,339.2,Gbps,DERIVED,OK,"track1_st_to_st_per_storage.csv, min(mean_total_gbps)",Per-storage view (server side) min.,,
5.2.prose,sec5_2_prose_r750_perstore_max_gbps,352.3,Gbps,DERIVED,OK,"track1_st_to_st_per_storage.csv, max(mean_total_gbps)",Per-storage view (server side) max.,,
5.2.prose,sec5_2_prose_r750_perapp_pct_min,80.0,%,DERIVED,OK,canonical_r750_app_min_gbps / BOND_CAPACITY_GBPS,,,
5.2.prose,sec5_2_prose_r750_perapp_pct_max,89.8,%,DERIVED,OK,canonical_r750_app_max_gbps / BOND_CAPACITY_GBPS,,,
5.2.prose,sec5_2_prose_r6525_per_node_min_gbps,168.7,Gbps,DERIVED,OK,"track1_full_mesh_per_app.csv, min(mean_total_gbps)",,,
5.2.prose,sec5_2_prose_r6525_per_node_max_gbps,191.7,Gbps,DERIVED,OK,"track1_full_mesh_per_app.csv, max(mean_total_gbps)",,,
5.2.prose,sec5_2_prose_r6525_per_node_mean_gbps,176.3,Gbps,DERIVED,OK,"track1_full_mesh_per_app.csv, mean(mean_total_gbps)",,,
5.2.prose,sec5_2_prose_r6525_per_node_pct,44.1,%,DERIVED,OK,canonical_r6525_per_node_mean_gbps / BOND_CAPACITY_GBPS,,,
5.3.table3,sec5_3_table3_perpair_cv_mean,5.28,%,DIRECT,OK,"track1_throughput_raw.csv, mode=per-pair, mean(cv_pct)",,,
5.3.table3,sec5_3_table3_perpair_cv_worst,11.38,%,DIRECT,OK,"track1_throughput_raw.csv, mode=per-pair, max(cv_pct)",,,
5.3.table3,sec5_3_table3_stinbound_cv_mean,4.92,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-inbound, mean(cv_pct)",,,
5.3.table3,sec5_3_table3_stinbound_cv_worst,13.37,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-inbound, max(cv_pct)",,,
5.3.table3,sec5_3_table3_appoutbound_cv_mean,14.99,%,DIRECT,OK,"track1_throughput_raw.csv, mode=app-outbound, mean(cv_pct)",,,
5.3.table3,sec5_3_table3_appoutbound_cv_worst,44.56,%,DIRECT,OK,"track1_throughput_raw.csv, mode=app-outbound, max(cv_pct)",,,
5.3.table3,sec5_3_table3_fullmesh_cv_mean,14.06,%,DIRECT,OK,"track1_throughput_raw.csv, mode=full-mesh, mean(cv_pct)",,,
5.3.table3,sec5_3_table3_fullmesh_cv_worst,44.47,%,DIRECT,OK,"track1_throughput_raw.csv, mode=full-mesh, max(cv_pct)",,,
5.3.table3,sec5_3_table3_sttost_cv_mean,2.75,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-to-st, mean(cv_pct)",,,
5.3.table3,sec5_3_table3_sttost_cv_worst,4.42,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-to-st, max(cv_pct)",,,
5.3.prose,sec5_3_prose_60s_regime_change,,narrative,NARRATIVE,NARRATIVE,"Figure 5 panel 3 observation; qualitative claim, not a CSV cell",,,
5.4.table4,sec5_4_table4_perpair_streamcv_mean,9.59,%,DIRECT,OK,"track1_throughput_raw.csv, mode=per-pair, mean(stream_cv_pct)",,,
5.4.table4,sec5_4_table4_perpair_streamcv_worst,20.97,%,DIRECT,OK,"track1_throughput_raw.csv, mode=per-pair, max(stream_cv_pct)",,,
5.4.table4,sec5_4_table4_stinbound_streamcv_mean,13.19,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-inbound, mean(stream_cv_pct)",,,
5.4.table4,sec5_4_table4_stinbound_streamcv_worst,37.68,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-inbound, max(stream_cv_pct)",,,
5.4.table4,sec5_4_table4_sttost_streamcv_mean,22.84,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-to-st, mean(stream_cv_pct)",,,
5.4.table4,sec5_4_table4_sttost_streamcv_worst,42.22,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-to-st, max(stream_cv_pct)",,,
5.4.table4,sec5_4_table4_appoutbound_streamcv_mean,76.55,%,DIRECT,OK,"track1_throughput_raw.csv, mode=app-outbound, mean(stream_cv_pct)",,,
5.4.table4,sec5_4_table4_appoutbound_streamcv_worst,132.84,%,DIRECT,OK,"track1_throughput_raw.csv, mode=app-outbound, max(stream_cv_pct)",,,
5.4.table4,sec5_4_table4_fullmesh_streamcv_mean,93.28,%,DIRECT,OK,"track1_throughput_raw.csv, mode=full-mesh, mean(stream_cv_pct)",,,
5.4.table4,sec5_4_table4_fullmesh_streamcv_worst,162.69,%,DIRECT,OK,"track1_throughput_raw.csv, mode=full-mesh, max(stream_cv_pct)",,,
5.4.prose,sec5_4_prose_perpair_stream_gbps_approx,13.4,Gbps,DERIVED,OK,mean(perpair_mean_gbps) / N_PARALLEL_STREAMS,,,
5.4.prose,sec5_4_prose_fullmesh_stream_range_qualitative,some streams carry 5-6 Gbps while others receive less than 1 Gbps,narrative,NARRATIVE,NARRATIVE,"track1_per_stream.csv, mode=full-mesh; qualitative summary of distribution",,,
5.5.table5,sec5_5_table5_perpair_cpu_mean,246.9,%,DIRECT,OK,"track1_throughput_raw.csv, mode=per-pair, mean(host_cpu_total)",,,
5.5.table5,sec5_5_table5_perpair_cpu_std,29.2,%,DIRECT,OK,"track1_throughput_raw.csv, mode=per-pair, std(host_cpu_total)",,,
5.5.table5,sec5_5_table5_stinbound_cpu_mean,228.8,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-inbound, mean(host_cpu_total)",,,
5.5.table5,sec5_5_table5_stinbound_cpu_std,35.6,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-inbound, std(host_cpu_total)",,,
5.5.table5,sec5_5_table5_sttost_cpu_mean,54.7,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-to-st, mean(host_cpu_total)",,,
5.5.table5,sec5_5_table5_sttost_cpu_std,7.7,%,DIRECT,OK,"track1_throughput_raw.csv, mode=st-to-st, std(host_cpu_total)",,,
5.5.table5,sec5_5_table5_appoutbound_cpu_mean,38.3,%,DIRECT,OK,"track1_throughput_raw.csv, mode=app-outbound, mean(host_cpu_total)",,,
5.5.table5,sec5_5_table5_appoutbound_cpu_std,15.3,%,DIRECT,OK,"track1_throughput_raw.csv, mode=app-outbound, std(host_cpu_total)",,,
5.5.table5,sec5_5_table5_fullmesh_cpu_mean,39.1,%,DIRECT,OK,"track1_throughput_raw.csv, mode=full-mesh, mean(host_cpu_total)",,,
5.5.table5,sec5_5_table5_fullmesh_cpu_std,15.8,%,DIRECT,OK,"track1_throughput_raw.csv, mode=full-mesh, std(host_cpu_total)",,,
5.5.table5,sec5_5_table5_perpair_throughput_per_node,856.8,Gbps,DERIVED,OK,"track1_per_pair_per_app.csv, mean(mean_total_gbps)",,,
5.5.table5,sec5_5_table5_stinbound_throughput_per_node,819.3,Gbps,DERIVED,OK,"track1_st_inbound_per_app.csv, mean(mean_total_gbps)",,,
5.5.table5,sec5_5_table5_ststst_throughput_per_node,344.6,Gbps,DERIVED,OK,"track1_st_to_st_per_app.csv, mean(mean_total_gbps)",,,
5.5.table5,sec5_5_table5_appoutbound_throughput_per_node,174.3,Gbps,DERIVED,OK,"track1_app_outbound_per_app.csv, mean(mean_total_gbps)",,,
5.5.table5,sec5_5_table5_fullmesh_throughput_per_node,176.3,Gbps,DERIVED,OK,"track1_full_mesh_per_app.csv, mean(mean_total_gbps); same as canonical_r6525_per_node_mean_gbps",,,
5.5.prose,sec5_5_prose_r6525_nps,4,count,CONFIG,CONFIG,hardware configuration: NPS=4 on R6525,,,
5.5.prose,sec5_5_prose_r6525_numa_nodes_total,8,count,CONFIG,CONFIG,2 sockets x NPS=4,,,
5.5.prose,sec5_5_prose_r6525_numa_nodes_populated,2,count,CONFIG,CONFIG,only 1 DIMM per socket populated on the current R6525 configuration,,,
5.5.prose,sec5_5_prose_r6525_memory_bw_gbps,51.2,GB/s,CONFIG,CONFIG,2 x DDR4-3200 channels at 25.6 GB/s each,,,
5.5.prose,sec5_5_prose_r6525_43pct_bond,44.1,%,DERIVED,OK,canonical_r6525_per_node_pct,,,
5.5.prose,sec5_5_prose_r750_memory_bw_gbps,307.2,GB/s,CONFIG,CONFIG,12 x DDR4-3200 channels at 25.6 GB/s each,,,
5.5.prose,sec5_5_prose_r750_86pct_bond,86.2,%,DERIVED,OK,canonical_ststst_pct_of_theoretical (86% of 1600 theoretical),,,
5.5.table5a,sec5_5_table5a_r7615_memory_bw_gbps,153.6,GB/s,CONFIG,CONFIG,4 x DDR5-4800 channels at 38.4 GB/s each,,,
5.5.table5b,sec5_5_table5b_r7625_cpu_model,AMD EPYC 9634,narrative,CONFIG,CONFIG,config: R7625_CPU_MODEL; per datacenter_info/server_pool.md r04-rds02 block,,,
5.5.table5b,sec5_5_table5b_r7625_cpu_sockets,2,count,CONFIG,CONFIG,config: R7625_CPU_SOCKETS,,,
5.5.table5b,sec5_5_table5b_r7625_cpu_cores_total,168,count,CONFIG,CONFIG,config: R7625_CPU_CORES_TOTAL (2 sockets x 84 cores),,,
5.5.table5b,sec5_5_table5b_r7625_memory_total_gib,1536,GiB,CONFIG,CONFIG,config: R7625_MEMORY_TOTAL_GIB (24 x 64 GiB DDR5-4800),,,
5.5.table5b,sec5_5_table5b_r7625_dimms_populated,24,count,CONFIG,CONFIG,config: R7625_DIMMS_POPULATED,,,
5.5.table5b,sec5_5_table5b_r7625_channels_populated,24,count,CONFIG,CONFIG,config: R7625_CHANNELS_POPULATED (12 channels/socket x 2 sockets),,,
5.5.table5b,sec5_5_table5b_r7625_memory_bw_gbps,921.6,GB/s,CONFIG,CONFIG,24 x DDR5-4800 channels at 38.4 GB/s each,,,
5.5.table5b,sec5_5_table5b_r7625_bond_capacity_gbps,400,Gbps,CONFIG,CONFIG,config: BOND_CAPACITY_GBPS (shared across all hosts in the testbed),,,
5.5.prose,sec5_5_prose_r7625_fanout_aggregate_gbps_mean,377.8,Gbps,DERIVED,OK,"track1_rds02_fanout_per_app.csv, mean_total_gbps (sum across 8 targets per rep, mean across 3 reps)",,,
5.5.prose,sec5_5_prose_r7625_fanout_aggregate_gbps_std,5.9,Gbps,DERIVED,OK,"track1_rds02_fanout_per_app.csv, std_total_gbps",,,
5.5.prose,sec5_5_prose_r7625_fanout_pct_of_bond,94.5,%,DERIVED,OK,canonical_rds02_fanout_aggregate_gbps_mean / BOND_CAPACITY_GBPS,,,
5.5.prose,sec5_5_prose_r7625_fanout_target_mean_gbps,47.2,Gbps,DERIVED,OK,"track1_rds02_fanout_per_pair.csv, mean(mean_gbps) across 8 targets",,,
5.5.prose,sec5_5_prose_r7625_fanout_target_min_gbps,43.7,Gbps,DERIVED,OK,"track1_rds02_fanout_per_pair.csv, min(mean_gbps) across 8 targets",,,
5.5.prose,sec5_5_prose_r7625_fanout_target_max_gbps,49.0,Gbps,DERIVED,OK,"track1_rds02_fanout_per_pair.csv, max(mean_gbps) across 8 targets",,,
5.5.prose,sec5_5_prose_r7625_fanout_target_cv_pct,3.92,%,DERIVED,OK,std(per_target_mean_gbps) / mean(per_target_mean_gbps) * 100 across 8 targets,,,
5.5.prose,sec5_5_prose_r7625_fanout_total_retransmits,3,count,DERIVED,OK,"track1_rds02_fanout_per_app.csv, mean_retransmits rounded",,,
5.6.table6,sec5_6_table6_idle_mean_ms,0.053,ms,DIRECT,OK,"track1_latency_by_condition.csv, condition=idle, overall_mean_ms",,,
5.6.table6,sec5_6_table6_idle_p95_ms,0.075,ms,DIRECT,OK,"track1_latency_by_condition.csv, condition=idle, overall_p95_ms",,,
5.6.table6,sec5_6_table6_idle_max_ms,0.84,ms,DIRECT,OK,"track1_latency_by_condition.csv, condition=idle, worst_max_ms",,,
5.6.table6,sec5_6_table6_50pct_mean_ms,0.047,ms,DIRECT,OK,"track1_latency_by_condition.csv, condition=50pct, overall_mean_ms",,,
5.6.table6,sec5_6_table6_50pct_p95_ms,0.081,ms,DIRECT,OK,"track1_latency_by_condition.csv, condition=50pct, overall_p95_ms",,,
5.6.table6,sec5_6_table6_50pct_max_ms,4.67,ms,DIRECT,OK,"track1_latency_by_condition.csv, condition=50pct, worst_max_ms",,,
5.6.table6,sec5_6_table6_100pct_mean_ms,0.072,ms,DIRECT,OK,"track1_latency_by_condition.csv, condition=100pct, overall_mean_ms",,,
5.6.table6,sec5_6_table6_100pct_p95_ms,0.173,ms,DIRECT,OK,"track1_latency_by_condition.csv, condition=100pct, overall_p95_ms",,,
5.6.table6,sec5_6_table6_100pct_max_ms,2.59,ms,DIRECT,OK,"track1_latency_by_condition.csv, condition=100pct, worst_max_ms",,,
5.7.prose,sec5_7_prose_total_rx_errors,3,count,DIRECT,OK,"track1_packet_loss_summary.csv, sum(total_rx_errors)",,,
5.7.prose,sec5_7_prose_total_tx_errors,0,count,DIRECT,OK,"track1_packet_loss_summary.csv, sum(total_tx_errors)",,,
5.7.prose,sec5_7_prose_total_errors,3,count,DERIVED,OK,sum of rx + tx errors across all hosts (campaign total),,,
5.7.prose,sec5_7_prose_packets_per_run,5.293359388e9,count,DERIVED,OK,"track1_packet_loss_summary.csv, sum(mean_rx_packets) + sum(mean_tx_packets)",Mean packets transported by the fabric in a single benchmark rep.,,
5.7.prose,sec5_7_prose_n_reps_packetloss,3,count,DIRECT,OK,"track1_packet_loss_summary.csv, n_reps column (uniform across hosts)",Number of benchmark reps aggregated by the packet-loss summary.,,
5.7.prose,sec5_7_prose_total_packets_campaign,1.5880078163e10,count,DERIVED,OK,canonical_packets_per_run * canonical_n_reps_packetloss,Campaign-total packet count; denominator for the error-rate claim.,,
5.7.prose,sec5_7_prose_error_rate,1.889159467105074e-10,ratio,DERIVED,OK,canonical_total_errors / canonical_total_packets (campaign-wide),,,
5.8.table7,sec5_8_table7_scenario1_description,Single link failure on a storage node (1 port to one switch): LACP renegotiates; throughput recovers automatically at reduced capacity.,narrative,NARRATIVE,NARRATIVE,qualitative description of fault-tolerance behaviour,,,
5.8.table7,sec5_8_table7_scenario2_description,Symmetric dual link failure (one link per switch): LACP renegotiates via surviving ports; throughput recovers automatically at reduced capacity.,narrative,NARRATIVE,NARRATIVE,qualitative description of fault-tolerance behaviour,,,
5.8.table7,sec5_8_table7_scenario3_description,Asymmetric dual link failure (two links to the same switch): recovery is markedly slower than scenarios 1 and 2 but completes at reduced capacity.,narrative,NARRATIVE,NARRATIVE,qualitative description of fault-tolerance behaviour,,,
5.8.table7,sec5_8_table7_scenario4_description,Three links disconnected (one port remaining): node remains reachable via the surviving port but operates at 1/4 bond capacity.,narrative,NARRATIVE,NARRATIVE,qualitative description,,,
5.8.table7,sec5_8_table7_scenario5_description,Full switch disconnect (both ports to one switch): node is isolated when combined with any failure on the other switch; the 4-port bond tolerates up to 2 link failures per node distributed across both switches.,narrative,NARRATIVE,NARRATIVE,qualitative description,,,
5.8.prose,sec5_8_prose_recovery_qualitative,Automatic recovery from single-component failures via LACP bond renegotiation; multi-component failures exceeding the designed redundancy envelope isolate the affected node.,narrative,NARRATIVE,NARRATIVE,qualitative description of recovery behaviour,,,
5.9.summary,sec5_9_summary_ststst_pct,86.2,%,DERIVED,OK,canonical_ststst_pct_of_theoretical,,,
5.9.summary,sec5_9_summary_fullmesh_gbps,529.0,Gbps,DERIVED,OK,canonical_fullmesh_total_gbps_mean,,,
6.2.table8,sec6_2_table8_4mib_put_mean_mibs,5576,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=4MiB, mean_mibs",,,
6.2.table8,sec6_2_table8_4mib_put_std_mibs,121,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=4MiB, std_mibs",,,
6.2.table8,sec6_2_table8_4mib_put_gbps,46.8,Gbps,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=4MiB, mean_gbps",,,
6.2.table8,sec6_2_table8_4mib_get_mean_mibs,9966,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=4MiB, mean_mibs",,,
6.2.table8,sec6_2_table8_4mib_get_std_mibs,296,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=4MiB, std_mibs",,,
6.2.table8,sec6_2_table8_4mib_get_gbps,83.6,Gbps,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=4MiB, mean_gbps",,,
6.2.table8,sec6_2_table8_64mib_put_mean_mibs,7099,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=64MiB, mean_mibs",,,
6.2.table8,sec6_2_table8_64mib_put_std_mibs,223,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=64MiB, std_mibs",,,
6.2.table8,sec6_2_table8_64mib_put_gbps,59.6,Gbps,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=64MiB, mean_gbps",,,
6.2.table8,sec6_2_table8_64mib_get_mean_mibs,10019,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=64MiB, mean_mibs",,,
6.2.table8,sec6_2_table8_64mib_get_std_mibs,895,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=64MiB, std_mibs",,,
6.2.table8,sec6_2_table8_64mib_get_gbps,84.0,Gbps,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=64MiB, mean_gbps",,,
6.2.table8,sec6_2_table8_512mib_put_mean_mibs,7369,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=512MiB, mean_mibs",,,
6.2.table8,sec6_2_table8_512mib_put_std_mibs,116,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=512MiB, std_mibs",,,
6.2.table8,sec6_2_table8_512mib_put_gbps,61.8,Gbps,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=512MiB, mean_gbps",,,
6.2.table8,sec6_2_table8_512mib_get_mean_mibs,10444,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=512MiB, mean_mibs",,,
6.2.table8,sec6_2_table8_512mib_get_std_mibs,212,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=512MiB, std_mibs",,,
6.2.table8,sec6_2_table8_512mib_get_gbps,87.6,Gbps,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=512MiB, mean_gbps",,,
6.2.table8,sec6_2_table8_2gib_put_mean_mibs,7288,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=2GiB, mean_mibs",,,
6.2.table8,sec6_2_table8_2gib_put_std_mibs,118,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=2GiB, std_mibs",,,
6.2.table8,sec6_2_table8_2gib_put_gbps,61.1,Gbps,DIRECT,OK,"track2_summary.csv, experiment=single, operation=PUT, rate=100gbps, size=2GiB, mean_gbps",,,
6.2.table8,sec6_2_table8_2gib_get_mean_mibs,9998,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=2GiB, mean_mibs",,,
6.2.table8,sec6_2_table8_2gib_get_std_mibs,891,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=2GiB, std_mibs",,,
6.2.table8,sec6_2_table8_2gib_get_gbps,83.9,Gbps,DIRECT,OK,"track2_summary.csv, experiment=single, operation=GET, rate=100gbps, size=2GiB, mean_gbps",,,
6.3.table9,sec6_3_table9_4mib_put_mean_mibs,13218,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=PUT, rate=100gbps, size=4MiB, mean_mibs",,,
6.3.table9,sec6_3_table9_4mib_put_std_mibs,57,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=PUT, rate=100gbps, size=4MiB, std_mibs",,,
6.3.table9,sec6_3_table9_4mib_put_gbps,110.9,Gbps,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=PUT, rate=100gbps, size=4MiB, mean_gbps",,,
6.3.table9,sec6_3_table9_4mib_get_mean_mibs,18217,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=GET, rate=100gbps, size=4MiB, mean_mibs",,,
6.3.table9,sec6_3_table9_4mib_get_std_mibs,164,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=GET, rate=100gbps, size=4MiB, std_mibs",,,
6.3.table9,sec6_3_table9_4mib_get_gbps,152.8,Gbps,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=GET, rate=100gbps, size=4MiB, mean_gbps",,,
6.3.table9,sec6_3_table9_64mib_put_mean_mibs,16092,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=PUT, rate=100gbps, size=64MiB, mean_mibs",,,
6.3.table9,sec6_3_table9_64mib_put_std_mibs,168,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=PUT, rate=100gbps, size=64MiB, std_mibs",,,
6.3.table9,sec6_3_table9_64mib_put_gbps,135.0,Gbps,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=PUT, rate=100gbps, size=64MiB, mean_gbps",,,
6.3.table9,sec6_3_table9_64mib_get_mean_mibs,18867,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=GET, rate=100gbps, size=64MiB, mean_mibs",,,
6.3.table9,sec6_3_table9_64mib_get_std_mibs,520,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=GET, rate=100gbps, size=64MiB, std_mibs",,,
6.3.table9,sec6_3_table9_64mib_get_gbps,158.3,Gbps,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=GET, rate=100gbps, size=64MiB, mean_gbps",,,
6.3.table9,sec6_3_table9_512mib_put_mean_mibs,15954,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=PUT, rate=100gbps, size=512MiB, mean_mibs",,,
6.3.table9,sec6_3_table9_512mib_put_std_mibs,268,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=PUT, rate=100gbps, size=512MiB, std_mibs",,,
6.3.table9,sec6_3_table9_512mib_put_gbps,133.8,Gbps,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=PUT, rate=100gbps, size=512MiB, mean_gbps",,,
6.3.table9,sec6_3_table9_512mib_get_mean_mibs,17946,MiB/s,DIRECT,OK,"track2_summary.csv, experiment=distributed, operation=GET, rate=100gbps, size=512MiB, mean_mibs",,,
